SPY,EFA,EEM,TLT
82.779968,28.957731,15.766414,49.704044
82.9375,29.130032,15.883991,49.794193
83.149811,29.224525,16.025972,50.04351
83.457932,29.663614,16.218979,50.038288
83.48542,29.385704,16.072556,49.953354
83.533585,29.608034,15.99491,50.31937
83.602341,29.519102,16.145769,50.929386
82.426392,29.185608,15.861806,50.876358
81.821198,29.180059,15.80635,51.130959
81.938103,29.113361,15.906178,51.268906
82.625816,29.280096,16.025972,50.918808
82.405769,29.157825,15.932796,50.839264
81.958755,29.118912,15.883991,51.295429
82.199432,29.080013,15.94167,50.673717
82.859627,29.113361,16.012659,50.194641
82.165115,29.035551,15.935014,50.471432
82.488289,28.874353,15.981601,50.577892
83.430405,29.263424,16.147985,50.370304
83.856773,29.474636,16.394234,50.370304
84.076836,29.780336,16.589455,50.088184
84.193733,29.541332,16.578362,50.013702
84.523827,29.624702,16.673752,49.885937
84.475693,29.546894,16.582798,50.019005
84.138733,29.463518,16.531776,49.646366
84.59948,29.53022,16.720343,49.822002
84.888298,29.730307,16.722561,50.093498
84.393196,29.791449,16.90447,49.412239
84.957092,29.763659,16.864536,49.795467
84.7164,29.680285,16.718124,49.614449
84.819565,29.591356,16.813522,49.694313
85.129005,29.930403,16.90447,49.614449
85.665398,30.136061,17.115227,50.056267
85.094597,29.991537,17.104134,49.56123
85.032738,30.286123,17.383656,49.376904
85.541634,30.50289,17.692015,49.216667
85.768555,30.730766,17.64765,49.457027
85.080864,30.480648,17.492359,49.355556
84.503212,30.369484,17.170687,48.970882
84.345001,30.441755,17.288263,48.880013
84.853928,30.830809,17.636551,49.061749
84.81266,31.042027,17.825121,49.008297
85.14962,31.542257,17.725294,49.350174
84.626991,31.347715,17.536726,49.852402
85.14962,31.403305,17.658741,49.724155
84.042442,31.064259,17.352598,50.071438
84.035583,30.986439,17.363688,49.740231
84.028702,30.652954,17.04423,50.108879
84.22123,30.803022,16.977678,50.103481
84.22123,31.142063,17.188429,50.050098
84.063087,31.008682,17.026485,50.279823
83.313522,30.680746,16.804638,50.327869
83.616081,30.797461,16.99321,50.488201
83.045288,30.697428,16.971029,50.472149
83.684868,30.680746,17.157372,50.536278
83.244751,30.591816,16.977678,50.856834
84.296906,31.142063,17.330418,51.284241
84.234993,31.514454,17.570005,50.975407
84.083755,31.625628,17.725294,51.018307
85.067101,32.014683,17.947138,50.659138
85.211517,31.925758,17.969322,50.181919
84.929573,31.681198,17.940487,50.235573
85.686043,32.098061,18.20447,50.396442
85.514137,31.847954,18.177853,50.047916
85.039619,31.631184,17.973761,50.310631
84.730141,31.653418,17.909426,50.117615
84.688896,31.675642,18.013689,49.704773
