Date,SPY,EFA,EEM,TLT
2005-02-08,82.012634,29.152267,15.318291,49.09726
2005-02-09,81.39859,29.078167,15.268747,49.22805
2005-02-10,81.692009,29.380152,15.342698,48.563778
2005-02-11,82.394699,29.583933,15.492065,48.532413
2005-02-14,82.333282,29.813677,15.602982,48.684059
2005-02-15,82.640312,30.013771,15.639965,48.438274
2005-02-16,82.69487,29.748838,15.591894,48.255192
2005-02-17,82.026283,29.809975,15.566018,47.951862
2005-02-18,82.135452,29.958191,15.757538,47.522957
2005-02-22,80.914223,29.887789,15.699861,47.313728
2005-02-23,81.494102,29.902613,15.772328,47.470634
2005-02-24,82.033081,29.948933,16.017099,47.366028
2005-02-25,82.844986,30.297237,16.312149,47.596165
2005-02-28,82.299156,30.22683,16.284792,47.08358
2005-03-01,82.708542,30.393583,16.330635,47.068924
2005-03-02,82.66761,30.165693,16.06147,47.005959
2005-03-03,82.701683,30.180515,16.105839,46.979752
2005-03-04,83.731918,30.70854,16.298098,47.488651
2005-03-07,83.772797,30.578844,16.405325,47.67754
2005-03-08,83.458984,30.662212,16.28035,47.226295
2005-03-09,82.531136,30.523268,16.187178,46.45504
2005-03-10,82.71537,30.62331,16.031885,46.738384
2005-03-11,82.135452,30.615896,15.94167,46.397327
2005-03-14,82.64711,30.5177,15.819657,46.6754
2005-03-15,81.964874,30.328732,15.425513,46.381557
2005-03-16,81.26899,30.363935,15.29463,46.664913
2005-03-17,81.432716,30.328732,15.573408,46.817051
2005-03-18,81.190941,30.267601,15.50316,46.523247
2005-03-21,80.889603,30.061945,15.279096,46.392094
2005-03-22,80.067696,29.717346,14.996614,45.998581
2005-03-23,80.136192,29.519102,14.806573,46.218922
2005-03-24,80.232056,29.513538,14.790303,46.313381
2005-03-28,80.348473,29.513538,14.892349,46.030041
2005-03-29,79.814262,29.207842,14.507082,46.302856
2005-03-30,80.944344,29.446835,14.837629,46.533733
2005-03-31,80.793686,29.433878,14.996614,46.869522
2005-04-01,80.430664,29.365324,15.085356,47.027531
2005-04-04,80.56768,29.374586,15.118632,47.016964
2005-04-05,80.951225,29.532068,15.114929,46.895878
2005-04-06,81.232025,29.615437,15.321987,47.059101
2005-04-07,81.670387,29.735853,15.476542,46.679947
2005-04-08,80.821106,29.735853,15.403331,46.843204
2005-04-11,80.882736,29.847034,15.255434,47.095997
2005-04-12,81.300522,29.921137,15.447699,47.533115
2005-04-13,80.341667,29.606178,15.140074,47.41724
2005-04-14,79.293686,29.217104,14.752588,47.343475
2005-04-15,78.184143,28.859537,14.442009,47.97015
2005-04-18,78.423859,28.753944,14.612826,47.933289
2005-04-19,79.047157,29.13558,14.857588,48.396736
2005-04-20,77.944397,28.763205,14.507082,48.275604
2005-04-21,79.458069,29.28381,14.924885,47.770042
2005-04-22,79.156731,29.180059,14.75999,48.17028
2005-04-25,79.677269,29.333836,15.039511,48.312477
2005-04-26,78.903275,28.966991,14.885697,48.238747
2005-04-27,79.211517,28.889183,14.751112,48.407249
